,股票代码,净利润-同比增长,净利润-净利润,公告日期,accounting_period
0,688508,,,2023-08-16,2022-12-31
1,603881,,,2023-08-16,2022-12-31
2,600926,,,2023-08-16,2022-12-31
3,600109,,,2023-08-16,2022-12-31
4,000411,,,2023-08-16,2022-12-31
5,603997,,,2023-08-15,2022-12-31
6,601696,,,2023-08-15,2022-12-31
7,601688,,,2023-08-15,2022-12-31
8,601377,,,2023-08-15,2022-12-31
9,601136,,,2023-08-15,2022-12-31
10,601128,,,2023-08-15,2022-12-31
11,600958,,,2023-08-15,2022-12-31
12,600918,,,2023-08-15,2022-12-31
13,600728,,,2023-08-15,2022-12-31
14,002418,,,2023-08-15,2022-12-31
15,001311,,,2023-08-15,2022-12-31
16,601456,,,2023-08-12,2022-12-31
17,688183,,,2023-08-10,2022-12-31
18,603163,,,2023-08-10,2022-12-31
19,600183,,,2023-08-10,2022-12-31
20,600000,,,2023-08-10,2022-12-31
21,300857,,,2023-08-10,2022-12-31
22,002609,,,2023-08-10,2022-12-31
23,000028,,,2023-08-09,2022-12-31
24,603496,,,2023-08-08,2022-12-31
25,300722,,,2023-08-08,2022-12-31
26,002472,,,2023-08-08,2022-12-31
27,603328,,,2023-08-07,2022-12-31
28,002939,,,2023-08-07,2022-12-31
29,000423,,,2023-08-07,2022-12-31
30,688335,,,2023-08-05,2022-12-31
31,688212,,,2023-08-05,2022-12-31
32,688073,,,2023-08-05,2022-12-31
33,605337,,,2023-08-05,2022-12-31
34,603683,,,2023-08-05,2022-12-31
35,601890,,,2023-08-05,2022-12-31
36,600761,,,2023-08-05,2022-12-31
37,600572,,,2023-08-05,2022-12-31
38,600517,,,2023-08-05,2022-12-31
39,600267,,,2023-08-05,2022-12-31
40,600123,,,2023-08-05,2022-12-31
41,600085,,,2023-08-05,2022-12-31
42,002299,,,2023-08-05,2022-12-31
43,000155,,,2023-08-05,2022-12-31
44,605016,,,2023-08-04,2022-12-31
45,603679,,,2023-08-04,2022-12-31
46,603628,,,2023-08-04,2022-12-31
47,603551,,,2023-08-04,2022-12-31
48,603220,,,2023-08-04,2022-12-31
49,603090,,,2023-08-04,2022-12-31
50,603083,,,2023-08-04,2022-12-31
51,600732,,,2023-08-04,2022-12-31
52,600502,,,2023-08-04,2022-12-31
53,600418,,,2023-08-04,2022-12-31
54,600351,,,2023-08-04,2022-12-31
55,300997,,,2023-08-04,2022-12-31
56,300681,,,2023-08-04,2022-12-31
57,002683,,,2023-08-04,2022-12-31
58,688235,,,2023-08-03,2022-12-31
59,603758,,,2023-08-03,2022-12-31
60,603519,,,2023-08-03,2022-12-31
61,601012,,,2023-08-03,2022-12-31
62,600919,,,2023-08-03,2022-12-31
63,600066,,,2023-08-03,2022-12-31
64,300452,,,2023-08-03,2022-12-31
65,600801,,,2023-08-02,2022-12-31
66,300979,,,2023-08-02,2022-12-31
67,002184,,,2023-08-01,2022-12-31
68,002030,,,2023-07-31,2022-12-31
69,688016,,,2023-07-29,2022-12-31
70,601211,,,2023-07-29,2022-12-31
71,600606,,,2023-07-29,2022-12-31
72,002859,,,2023-07-29,2022-12-31
73,002302,,,2023-07-29,2022-12-31
74,002287,,,2023-07-29,2022-12-31
