,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,净资产收益率,公告日期,trade_date,time_distance,tier,last_period,code,period,ROE,roedf,rnk
10,002736,2019-12-31,146,国信证券,2020-03-10,2020-03-20,,,2020-03-20,43.825965124812,4923733200.0,9.48,2020-02-20,2020-02-26,13 days,2,2018-12-31,002736,2018-12-31,6.53,2.95,0
5,002436,2019-12-31,169,兴森科技,2020-03-11,2020-03-31,,,2020-03-31,41.090621790145,302950934.76,11.5,2020-02-25,2020-02-26,14 days,2,2018-12-31,002436,2018-12-31,8.44,3.0600000000000005,1
40,300726,2019-12-31,214,宏达电子,2020-03-13,,,,2020-03-13,31.544377859745,293332955.02,17.78,2020-02-24,2020-02-26,16 days,2,2018-12-31,300726,2018-12-31,14.36,3.4200000000000017,2
49,603058,2019-12-31,226,永吉股份,2020-03-13,2020-04-20,,,2020-04-20,22.438173946559,136595700.0,15.8,2020-02-04,2020-02-26,16 days,2,2018-12-31,603058,2018-12-31,11.97,3.83,3
37,300598,2019-12-31,1647,诚迈科技,2020-04-15,,,,2020-04-15,945.680648829305,166450400.0,30.66,2020-02-25,2020-02-26,49 days,1,2018-12-31,300598,2018-12-31,3.45,27.21,4
6,002500,2019-12-31,2985,山西证券,2020-04-28,,,,2020-04-28,130.19929826017,510497100.0,4.06,2020-02-25,2020-02-26,62 days,1,2018-12-31,002500,2018-12-31,1.78,2.2799999999999994,5
0,002107,2019-12-31,351,沃华医药,2020-03-20,2020-03-28,2020-04-29,,2020-04-29,123.321687129667,101949700.0,16.11,2020-02-25,2020-02-26,23 days,1,2018-12-31,002107,2018-12-31,7.68,8.43,6
24,300337,2019-12-31,2432,银邦股份,2020-04-24,2020-04-29,,,2020-04-29,121.579050284593,15946708.85,0.73,2020-02-24,2020-02-26,58 days,1,2018-12-31,300337,2018-12-31,-5.15,5.880000000000001,7
33,300540,2019-12-31,2174,蜀道装备,2020-04-22,2020-04-30,,,2020-04-30,112.412714401932,14491884.31,2.62,2020-02-17,2020-02-26,56 days,1,2018-12-31,300540,2018-12-31,-21.75,24.37,8
2,002216,2019-12-31,1616,三全食品,2020-04-15,2020-04-28,,,2020-04-28,106.685116031124,210616625.02,9.89,2020-02-24,2020-02-26,49 days,1,2018-12-31,002216,2018-12-31,4.94,4.95,9
9,002617,2019-12-31,3001,露笑科技,2020-04-28,,,,2020-04-28,104.133249599652,40974964.07,1.48,2020-01-23,2020-02-26,62 days,1,2018-12-31,002617,2018-12-31,-61.78,63.26,10
17,300032,2019-12-31,3054,金龙机电,2020-04-28,,,,2020-04-28,102.330558032293,55935991.23,3.86,2020-02-25,2020-02-26,62 days,1,2018-12-31,300032,2018-12-31,-169.1,172.96,11
16,300019,2019-12-31,1043,硅宝科技,2020-03-31,,,,2020-03-31,102.083630808441,131620100.0,15.97,2020-01-20,2020-02-26,34 days,1,2018-12-31,300019,2018-12-31,8.59,7.380000000000001,12
31,300528,2019-12-31,1337,幸福蓝海,2020-04-08,,,,2020-04-08,101.379753125488,7336221.69,0.54,2020-02-25,2020-02-26,42 days,1,2018-12-31,300528,2018-12-31,-39.17,39.71,13
28,300493,2019-12-31,1705,润欣科技,2020-04-16,,,,2020-04-16,97.313088662847,31128225.77,4.24,2020-02-24,2020-02-26,50 days,1,2018-12-31,300493,2018-12-31,2.17,2.0700000000000003,14
39,300715,2019-12-31,1711,凯伦股份,2020-04-16,2020-04-23,,,2020-04-23,84.05417784116,119824492.68,24.39,2020-02-18,2020-02-26,50 days,1,2018-12-31,300715,2018-12-31,15.03,9.360000000000001,15
