,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,公告日期,trade_date,time_distance
0,000001,2022-12-31,62,平安银行,2023-03-09,,,,2023-03-09,25.264200792602,45516000000.0,2023-01-17 00:00:00,2023-03-05,4 days
1,000027,2022-12-31,1881,深圳能源,2023-04-20,,,,2023-04-20,-8.867544203558,2178555800.0,2023-01-17 00:00:00,2023-03-05,46 days
2,000028,2023-03-31,1066,国药一致,2023-04-26,,,,2023-04-26,43.526142416902,362205300.0,2023-04-18 00:00:00,2023-03-05,52 days
3,000034,2022-12-31,753,神州数码,2023-03-31,,,,2023-03-31,303.11847808637,1004410000.0,2023-03-13 00:00:00,2023-03-05,26 days
4,000048,2022-12-31,114,京基智农,2023-03-15,,,,2023-03-15,98.560326227035,773073916.59,2023-03-13 00:00:00,2023-03-05,10 days
5,000049,2022-12-31,3841,德赛电池,2023-04-28,,,,2023-04-28,9.126577036611,866209024.46,2023-04-21 00:00:00,2023-03-05,54 days
6,000088,2022-12-31,4360,盐田港,2023-04-29,,,,2023-04-29,-1.431761009934,454807399.78,2023-02-14 00:00:00,2023-03-05,55 days
7,000096,2022-12-31,1681,广聚能源,2023-04-18,,,,2023-04-18,-18.522872959512,55163600.0,2023-03-22 00:00:00,2023-03-05,44 days
8,000166,2023-03-31,3668,申万宏源,2023-04-29,,,,2023-04-29,87.768140440409,2010990400.0,2023-04-15 00:00:00,2023-03-05,55 days
9,000422,2022-12-31,1529,湖北宜化,2023-04-15,,,,2023-04-15,37.448042646542,2156595850.57,2023-03-13 00:00:00,2023-03-05,41 days
10,000429,2022-12-31,210,粤高速A,2023-03-21,,,,2023-03-21,-24.290798913717,1287364541.28,2023-02-03 00:00:00,2023-03-05,16 days
11,000430,2022-12-31,2618,张家界,2023-04-25,,,,2023-04-25,-92.372967151746,-260046049.0,2023-04-15 00:00:00,2023-03-05,51 days
12,000498,2022-12-31,2619,山东路桥,2023-04-25,,,,2023-04-25,17.297954680514,2504215500.0,2023-01-18 00:00:00,2023-03-05,51 days
13,000529,2022-12-31,3847,广弘控股,2023-04-28,,,,2023-04-28,177.020113192716,916758390.04,2023-03-18 00:00:00,2023-03-05,54 days
14,000533,2022-12-31,1531,顺钠股份,2023-04-15,,,,2023-04-15,346.857317512814,31498500.0,2023-03-13 00:00:00,2023-03-05,41 days
15,000534,2022-12-31,256,万泽股份,2023-03-22,2023-02-28,,,2023-02-28,7.646779806155,102579200.0,2023-02-17 00:00:00,2023-03-05,17 days
16,000554,2022-12-31,3851,泰山石油,2023-04-28,,,,2023-04-28,13.857976604983,9372873.39,2023-04-15 00:00:00,2023-03-05,54 days
17,000557,2022-12-31,2621,西部创业,2023-04-25,,,,2023-04-25,5.450893774025,237975763.34,2023-04-12 00:00:00,2023-03-05,51 days
18,000598,2022-12-31,3004,兴蓉环境,2023-04-26,,,,2023-04-26,8.3101636739,1617825694.92,2023-03-01 00:00:00,2023-03-05,52 days
19,000600,2022-12-31,3854,建投能源,2023-04-28,2023-04-27,,,2023-04-27,104.659483446155,102988567.87,2023-04-15 00:00:00,2023-03-05,54 days
20,000627,2022-12-31,3857,天茂集团,2023-04-28,2023-04-22,,,2023-04-22,-41.77966351946,274051100.0,2023-04-15 00:00:00,2023-03-05,54 days
21,000628,2022-12-31,1216,高新发展,2023-04-08,,,,2023-04-08,21.949430845851,199202024.98,2023-02-28 00:00:00,2023-03-05,34 days
22,000686,2023-03-31,2434,东北证券,2023-04-28,,,,2023-04-28,245.928392067441,378092000.0,2023-04-15 00:00:00,2023-03-05,54 days
23,000707,2022-12-31,430,双环科技,2023-03-28,,,,2023-03-28,106.578858563129,873043627.34,2023-03-13 00:00:00,2023-03-05,23 days
24,000729,2022-12-31,3437,燕京啤酒,2023-04-27,2023-04-18,,,2023-04-18,54.507012514886,352293089.71,2023-04-11 00:00:00,2023-03-05,53 days
25,000750,2022-12-31,3869,国海证券,2023-04-28,,,,2023-04-28,-67.381431860086,249407900.0,2023-01-31 00:00:00,2023-03-05,54 days
26,000767,2022-12-31,3872,晋控电力,2023-04-28,,,,2023-04-28,-17871.6843935304,-682562776.55,2023-04-15 00:00:00,2023-03-05,54 days
27,000792,2022-12-31,780,盐湖股份,2023-03-31,,,,2023-03-31,248.64840833527,15613823600.0,2023-03-13 00:00:00,2023-03-05,26 days
28,000821,2022-12-31,2291,京山轻机,2023-04-22,,,,2023-04-22,107.042843015657,301935816.34,2023-04-12 00:00:00,2023-03-05,48 days
29,000823,2022-12-31,2292,超声电子,2023-04-22,,,,2023-04-22,10.937064691091,416790207.84,2023-04-15 00:00:00,2023-03-05,48 days
30,000878,2022-12-31,1671,云南铜业,2023-04-17,,,,2023-04-17,178.632426081526,1808746575.15,2023-04-10 00:00:00,2023-03-05,43 days
31,000899,2022-12-31,2637,赣能股份,2023-04-25,,,,2023-04-25,104.290713098755,10648400.0,2023-04-15 00:00:00,2023-03-05,51 days
32,000906,2023-03-31,393,浙商中拓,2023-04-22,,,,2023-04-22,58.953078526605,265126900.0,2023-04-07 00:00:00,2023-03-05,48 days
33,000913,2022-12-31,4413,钱江摩托,2023-04-29,,,,2023-04-29,75.783154188851,417674854.39,2023-04-15 00:00:00,2023-03-05,55 days
34,000922,2022-12-31,1366,佳电股份,2023-04-12,,,,2023-04-12,64.545454545455,351140000.0,2023-03-13 00:00:00,2023-03-05,38 days
35,000930,2022-12-31,3448,中粮科技,2023-04-27,,,,2023-04-27,-6.262226715694,1058864667.31,2023-04-15 00:00:00,2023-03-05,53 days
36,000937,2022-12-31,3452,冀中能源,2023-04-27,,,,2023-04-27,62.233245208903,4444130400.0,2023-04-15 00:00:00,2023-03-05,53 days
37,000966,2022-12-31,3010,长源电力,2023-04-26,,,,2023-04-26,584.540998725221,122832480.51,2023-04-15 00:00:00,2023-03-05,52 days
38,000968,2022-12-31,3455,蓝焰控股,2023-04-27,,,,2023-04-27,84.607436222212,563313900.0,2023-04-15 00:00:00,2023-03-05,53 days
39,000985,2022-12-31,2297,大庆华科,2023-04-22,,,,2023-04-22,19.980845298533,15408900.0,2023-04-15 00:00:00,2023-03-05,48 days
40,000987,2022-12-31,1102,越秀资本,2023-04-01,,,,2023-04-01,1.151471447819,2508899800.0,2023-01-14 00:00:00,2023-03-05,27 days
41,000999,2022-12-31,524,华润三九,2023-03-29,,,,2023-03-29,19.157065280586,2448802100.0,2023-03-13 00:00:00,2023-03-05,24 days
42,001202,2022-12-31,1895,炬申股份,2023-04-20,,,,2023-04-20,-14.282374139299,39960700.0,2023-02-28 00:00:00,2023-03-05,46 days
43,001216,2022-12-31,1276,华瓷股份,2023-04-10,2023-04-17,2023-04-18,,2023-04-18,24.573294911418,170761018.19,2023-03-25 00:00:00,2023-03-05,36 days
44,001219,2022-12-31,1688,青岛食品,2023-04-18,,,,2023-04-18,34.38429970551,91429460.78,2023-03-07 00:00:00,2023-03-05,44 days
