,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,公告日期,trade_date,time_distance,tier
0,000001,2022-12-31,62,平安银行,2023-03-09,,,,2023-03-09,25.264200792602,45516000000.0,2023-01-17,2023-03-01,8 days,3
6,000628,2022-12-31,1216,高新发展,2023-04-08,,,,2023-04-08,21.949430845851,199202024.98,2023-02-28,2023-03-01,38 days,1
12,002033,2022-12-31,104,丽江股份,2023-03-14,2023-04-07,2023-04-04,,2023-04-04,109.746895429844,3684639.11,2023-02-25,2023-03-01,13 days,2
19,002066,2022-12-31,528,瑞泰科技,2023-03-29,2023-04-11,,,2023-04-11,40.221732683066,67003600.0,2023-01-10,2023-03-01,28 days,1
21,002079,2022-12-31,1224,苏州固锝,2023-04-08,,,,2023-04-08,71.799760302004,374032821.93,2023-02-28,2023-03-01,38 days,1
22,002091,2022-12-31,3020,江苏国泰,2023-04-26,,,,2023-04-26,33.509813038465,1650406404.19,2023-02-28,2023-03-01,56 days,1
23,002116,2022-12-31,3463,中国海诚,2023-04-27,,,,2023-04-27,27.575385277144,205125159.66,2023-02-28,2023-03-01,57 days,1
31,002179,2022-12-31,143,中航光电,2023-03-16,,,,2023-03-16,36.81339429014,2723951180.89,2023-02-03,2023-03-01,15 days,2
32,002204,2022-12-31,2078,大连重工,2023-04-21,,,,2023-04-21,148.262614514914,286467500.0,2023-02-25,2023-03-01,51 days,1
35,002258,2022-12-31,41,利尔化学,2023-03-02,,,,2023-03-02,68.969804794501,1812009600.0,2023-01-11,2023-03-01,1 days,3
37,002268,2022-12-31,2082,电科网安,2023-04-21,,,,2023-04-21,21.210611941088,304681465.04,2023-02-22,2023-03-01,51 days,1
40,002279,2022-12-31,1107,久其软件,2023-04-01,,,,2023-04-01,139.585606580821,52151402.45,2023-02-22,2023-03-01,31 days,1
42,002332,2022-12-31,3037,仙琚制药,2023-04-26,,,,2023-04-26,20.365158910164,741380495.17,2023-02-24,2023-03-01,56 days,1
43,002338,2022-12-31,3470,奥普光电,2023-04-27,,,,2023-04-27,79.73853751038,83861152.67,2023-02-28,2023-03-01,57 days,1
44,002363,2022-12-31,1305,隆基机械,2023-04-11,,,,2023-04-11,44.233389044085,45577282.54,2023-02-28,2023-03-01,41 days,1
46,002378,2022-12-31,1701,章源钨业,2023-04-18,,,,2023-04-18,27.99902501786,211199371.88,2023-02-21,2023-03-01,48 days,1
49,002410,2022-12-31,448,广联达,2023-03-28,2023-03-25,,,2023-03-25,45.665426734641,962811015.59,2023-02-21,2023-03-01,27 days,1
54,002463,2022-12-31,316,沪电股份,2023-03-24,,,,2023-03-24,28.004554971536,1361329502.0,2023-02-01,2023-03-01,23 days,1
56,002507,2022-12-31,366,涪陵榨菜,2023-03-25,,,,2023-03-25,21.137427915146,898789391.36,2023-02-25,2023-03-01,24 days,1
59,002519,2022-12-31,639,银河电子,2023-03-30,,,,2023-03-30,1263.96052639407,195776156.13,2023-02-28,2023-03-01,29 days,1
63,002608,2022-12-31,3975,江苏国信,2023-04-28,,,,2023-04-28,121.382573485799,71126800.0,2023-02-28,2023-03-01,58 days,1
66,002705,2022-12-31,3991,新宝股份,2023-04-28,,,,2023-04-28,20.96858804587,958619129.7,2023-02-28,2023-03-01,58 days,1
68,002790,2022-12-31,1718,瑞尔特,2023-04-18,,,,2023-04-18,49.122044537373,207822125.82,2023-02-08,2023-03-01,48 days,1
70,002807,2022-12-31,648,江阴银行,2023-03-30,2023-03-28,,,2023-03-28,26.881548885522,1616077600.0,2023-01-18,2023-03-01,29 days,1
73,002839,2022-12-31,453,张家港行,2023-03-28,,,,2023-03-28,29.500003403705,1688485300.0,2023-01-17,2023-03-01,27 days,1
74,002841,2022-12-31,3067,视源股份,2023-04-26,,,,2023-04-26,21.797938180737,2069328700.0,2023-01-18,2023-03-01,56 days,1
75,002847,2022-12-31,839,盐津铺子,2023-03-31,2023-04-15,,,2023-04-15,99.859692278299,301268700.0,2023-02-28,2023-03-01,30 days,1
76,002877,2022-12-31,2521,智能自控,2023-04-24,,,,2023-04-24,33.224997577719,84295441.26,2023-02-24,2023-03-01,54 days,1
78,002908,2022-12-31,1833,德生科技,2023-04-19,,,,2023-04-19,25.138948587632,114558932.72,2023-01-31,2023-03-01,49 days,1
80,002941,2022-12-31,4024,新疆交建,2023-04-28,,,,2023-04-28,40.511784888162,355189118.37,2023-02-22,2023-03-01,58 days,1
81,002959,2022-12-31,1173,小熊电器,2023-04-07,,,,2023-04-07,31.206049141334,371836500.0,2023-02-17,2023-03-01,37 days,1
82,002966,2022-12-31,2710,苏州银行,2023-04-25,,,,2023-04-25,26.114966590882,3918000000.0,2023-01-30,2023-03-01,55 days,1
88,300002,2022-12-31,2522,神州泰岳,2023-04-24,2023-04-27,,,2023-04-27,42.537264912987,548080300.0,2023-02-25,2023-03-01,54 days,1
89,300012,2022-12-31,2721,华测检测,2023-04-25,,,,2023-04-25,20.925766426043,902332275.9,2023-02-28,2023-03-01,55 days,1
92,300037,2022-12-31,459,新宙邦,2023-03-28,,,,2023-03-28,34.75819142805,1760804107.56,2023-01-19,2023-03-01,27 days,1
94,300057,2022-12-31,1318,万顺新材,2023-04-11,,,,2023-04-11,565.755092101433,204670296.88,2023-02-28,2023-03-01,41 days,1
95,300087,2022-12-31,660,荃银高科,2023-03-30,2023-03-18,,,2023-03-18,38.051143401276,233369014.01,2023-02-17,2023-03-01,29 days,1
97,300115,2022-12-31,853,长盈精密,2023-03-31,,,,2023-03-31,107.060188770608,42685669.92,2023-02-27,2023-03-01,30 days,1
99,300138,2022-12-31,460,晨光生物,2023-03-28,,,,2023-03-28,23.941635156226,435672730.84,2023-02-28,2023-03-01,27 days,1
100,300160,2022-12-31,1175,秀强股份,2023-04-07,2023-04-12,,,2023-04-12,33.336456068529,182676614.4,2023-02-28,2023-03-01,37 days,1
103,300260,2022-12-31,3558,新莱应材,2023-04-27,,,,2023-04-27,106.107965284165,349994271.65,2023-02-28,2023-03-01,57 days,1
108,300308,2022-12-31,2542,中际旭创,2023-04-24,,,,2023-04-24,40.924488763581,1235875531.84,2023-02-28,2023-03-01,54 days,1
109,300338,2022-12-31,2756,ST开元,2023-04-25,,,,2023-04-25,107.51037123768,34605500.0,2023-02-28,2023-03-01,55 days,1
110,300341,2022-12-31,1320,麦克奥迪,2023-04-11,,,,2023-04-11,46.154148596951,260208900.0,2023-02-27,2023-03-01,41 days,1
112,300389,2022-12-31,867,艾比森,2023-03-31,,,,2023-03-31,568.690697651118,200218700.0,2023-02-28,2023-03-01,30 days,1
113,300407,2022-12-31,3124,凯发电气,2023-04-26,,,,2023-04-26,30.765738482074,88116262.14,2023-02-28,2023-03-01,56 days,1
118,300433,2022-12-31,2547,蓝思科技,2023-04-24,,,,2023-04-24,20.080861173643,2485965543.99,2023-02-28,2023-03-01,54 days,1
124,300481,2022-12-31,871,濮阳惠成,2023-03-31,,,,2023-03-31,65.630377550552,418499600.0,2023-02-27,2023-03-01,30 days,1
125,300484,2022-12-31,3139,蓝海华腾,2023-04-26,,,,2023-04-26,35.586124280137,83944354.85,2023-02-20,2023-03-01,56 days,1
127,300498,2022-12-31,3144,温氏股份,2023-04-26,,,,2023-04-26,138.941471512371,5219854700.0,2023-02-20,2023-03-01,56 days,1
132,300625,2022-12-31,2399,三雄极光,2023-04-22,,,,2023-04-22,286.80402794284,101947220.54,2023-02-27,2023-03-01,52 days,1
133,300627,2022-12-31,2557,华测导航,2023-04-24,2023-04-18,,,2023-04-18,22.891660407538,361714996.76,2023-02-03,2023-03-01,54 days,1
134,300628,2022-12-31,2400,亿联网络,2023-04-22,,,,2023-04-22,35.151351380785,2184154500.0,2023-02-28,2023-03-01,52 days,1
137,300666,2022-12-31,1179,江丰电子,2023-04-07,,,,2023-04-07,153.652111095975,270460972.64,2023-02-27,2023-03-01,37 days,1
140,300693,2022-12-31,3167,盛弘股份,2023-04-26,2023-03-23,,,2023-03-23,97.019041707619,223517717.98,2023-02-27,2023-03-01,56 days,1
141,300699,2022-12-31,470,光威复材,2023-03-28,,,,2023-03-28,22.881297265879,931910500.0,2023-01-12,2023-03-01,27 days,1
150,301076,2022-12-31,5,新瀚新材,2023-02-18,,,,2023-02-18,61.321410739687,106946900.0,2023-02-14,2023-03-01,-11 days,1
152,301238,2022-12-31,3236,瑞泰新材,2023-04-26,,,,2023-04-26,27.175695062024,766029006.01,2023-02-28,2023-03-01,56 days,1
154,301282,2022-12-31,680,金禄电子,2023-03-30,,,,2023-03-30,40.873025765388,141275500.0,2023-01-31,2023-03-01,29 days,1
156,301356,2022-12-31,2881,天振股份,2023-04-25,,,,2023-04-25,46.83077125745,410172200.0,2023-01-20,2023-03-01,55 days,1
163,600233,2022-12-31,3253,圆通速递,2023-04-26,,,,2023-04-26,86.343313259955,3919561100.0,2023-01-10,2023-03-01,56 days,1
168,600566,2022-12-31,1288,济川药业,2023-04-10,,,,2023-04-10,27.708310708637,2195530500.0,2023-01-20,2023-03-01,40 days,1
172,600853,2022-12-31,984,龙建股份,2023-03-31,,,,2023-03-31,30.177071969818,349963601.61,2023-02-23,2023-03-01,30 days,1
173,600867,2022-12-31,2204,通化东宝,2023-04-21,,,,2023-04-21,21.458666060464,1588988100.0,2023-02-07,2023-03-01,51 days,1
176,600908,2022-12-31,705,无锡银行,2023-03-30,,,,2023-03-30,26.642283333154,2001000000.0,2023-01-14,2023-03-01,29 days,1
184,601633,2022-12-31,1015,长城汽车,2023-03-31,,,,2023-03-31,23.089503419566,8279000000.0,2023-02-03,2023-03-01,30 days,1
194,603281,2022-12-31,2943,江瀚新材,2023-04-25,,,,2023-04-25,49.072877930512,1018948600.0,2023-02-27,2023-03-01,55 days,1
195,603323,2022-12-31,4233,苏农银行,2023-04-28,,,,2023-04-28,29.357075513162,1501000000.0,2023-01-30,2023-03-01,58 days,1
196,603368,2022-12-31,508,柳药集团,2023-03-28,,,,2023-03-28,22.791993881164,692322600.0,2023-02-28,2023-03-01,27 days,1
197,603392,2022-12-31,246,万泰生物,2023-03-21,,,,2023-03-21,134.437843825414,4739085213.69,2023-01-20,2023-03-01,20 days,2
201,603878,2022-12-31,2961,武进不锈,2023-04-25,2023-04-05,,,2023-04-05,22.015126253949,215172793.98,2023-02-02,2023-03-01,55 days,1
202,603948,2022-12-31,3781,建业股份,2023-04-27,,,,2023-04-27,34.272904437726,389421500.0,2023-02-23,2023-03-01,57 days,1
203,605177,2022-12-31,1350,东亚药业,2023-04-11,,,,2023-04-11,51.583676624415,103822779.03,2023-01-11,2023-03-01,41 days,1
205,605499,2022-12-31,2502,东鹏饮料,2023-04-22,,,,2023-04-22,20.865765221234,1441880725.42,2023-02-21,2023-03-01,52 days,1
210,688005,2022-12-31,1063,容百科技,2023-03-31,2023-03-29,,,2023-03-29,49.36405188217,1360768200.0,2023-02-25,2023-03-01,30 days,1
211,688006,2022-12-31,3800,杭可科技,2023-04-27,,,,2023-04-27,107.298509786783,487395865.11,2023-02-28,2023-03-01,57 days,1
213,688008,2022-12-31,4286,澜起科技,2023-04-28,,,,2023-04-28,56.714429150774,1299378100.0,2023-02-22,2023-03-01,58 days,1
221,688019,2022-12-31,1432,安集科技,2023-04-12,,,,2023-04-12,139.671149250784,299790500.0,2023-02-28,2023-03-01,42 days,1
232,688032,2022-12-31,3804,禾迈股份,2023-04-27,,,,2023-04-27,163.80005333603,532189700.0,2023-02-28,2023-03-01,57 days,1
234,688035,2022-12-31,1655,德邦科技,2023-04-15,,,,2023-04-15,61.683922836785,122695300.0,2023-02-28,2023-03-01,45 days,1
236,688037,2022-12-31,1807,芯源微,2023-04-18,,,,2023-04-18,155.314513991687,197484500.0,2023-02-22,2023-03-01,48 days,1
239,688041,2022-12-31,1808,海光信息,2023-04-18,,,,2023-04-18,145.17961803451,802005800.0,2023-02-24,2023-03-01,48 days,1
241,688046,2022-12-31,2032,药康生物,2023-04-20,,,,2023-04-20,30.922334954274,163558000.0,2023-02-28,2023-03-01,50 days,1
244,688050,2022-12-31,3364,爱博医疗,2023-04-26,2023-04-19,,,2023-04-19,35.27040891959,231778000.0,2023-02-15,2023-03-01,56 days,1
256,688063,2022-12-31,1433,派能科技,2023-04-12,,,,2023-04-12,302.134100153678,1271468000.0,2023-02-28,2023-03-01,42 days,1
258,688066,2022-12-31,2503,航天宏图,2023-04-22,,,,2023-04-22,34.335785716699,268608999.02,2023-02-25,2023-03-01,52 days,1
263,688072,2022-12-31,1810,拓荆科技,2023-04-18,,,,2023-04-18,438.087944339395,368517600.0,2023-02-27,2023-03-01,48 days,1
264,688075,2022-12-31,4850,安旭生物,2023-04-29,,,,2023-04-29,309.644761466179,3025334300.0,2023-02-28,2023-03-01,59 days,1
267,688078,2022-12-31,581,龙软科技,2023-03-29,,,,2023-03-29,28.189181348202,80859300.0,2023-02-23,2023-03-01,28 days,1
277,688091,2022-12-31,40,上海谊众,2023-03-01,,,,2023-03-01,3674.00783402116,142854906.22,2023-02-28,2023-03-01,0 days,1
282,688097,2022-12-31,2035,博众精工,2023-04-20,,,,2023-04-20,84.947576953515,357561000.0,2023-02-28,2023-03-01,50 days,1
286,688102,2022-12-31,3368,斯瑞新材,2023-04-26,,,,2023-04-26,22.92234171162,77886300.0,2023-02-28,2023-03-01,56 days,1
289,688106,2022-12-31,1434,金宏气体,2023-04-12,,,,2023-04-12,37.453375972729,229640013.21,2023-02-28,2023-03-01,42 days,1
290,688107,2022-12-31,3370,安路科技,2023-04-26,2023-04-25,,,2023-04-25,294.827077613285,60102400.0,2023-02-27,2023-03-01,56 days,1
295,688112,2022-12-31,3810,鼎阳科技,2023-04-27,,,,2023-04-27,73.536149817724,140665800.0,2023-02-28,2023-03-01,57 days,1
297,688114,2022-12-31,2977,华大智造,2023-04-25,,,,2023-04-25,315.886154461412,2011221700.0,2023-02-25,2023-03-01,55 days,1
299,688116,2022-12-31,2037,天奈科技,2023-04-20,,,,2023-04-20,38.920898516712,411043600.0,2023-02-25,2023-03-01,50 days,1
303,688120,2022-12-31,2978,华海清科,2023-04-25,,,,2023-04-25,159.965845709556,515451700.0,2023-02-28,2023-03-01,55 days,1
305,688122,2022-12-31,513,西部超导,2023-03-28,,,,2023-03-28,46.048080397163,1082915700.0,2023-02-28,2023-03-01,27 days,1
306,688123,2022-12-31,1519,聚辰股份,2023-04-14,,,,2023-04-14,228.039286073909,355106062.52,2023-02-28,2023-03-01,44 days,1
308,688126,2022-12-31,1352,沪硅产业,2023-04-11,,,,2023-04-11,122.453193568787,325031700.0,2023-02-28,2023-03-01,41 days,1
319,688138,2022-12-31,4301,清溢光电,2023-04-28,,,,2023-04-28,115.593431224144,95994700.0,2023-02-28,2023-03-01,58 days,1
326,688153,2022-12-31,3814,唯捷创芯,2023-04-27,,,,2023-04-27,180.632567629983,55165900.0,2023-02-27,2023-03-01,57 days,1
330,688158,2022-12-31,4909,优刻得,2023-06-30,2023-04-27,,,2023-04-27,34.535591316822,-414560700.0,2023-02-28,2023-03-01,121 days,1
332,688160,2022-12-31,1071,步科股份,2023-03-31,,,,2023-03-31,21.857377858861,91040500.0,2023-02-11,2023-03-01,30 days,1
338,688167,2022-12-31,3374,炬光科技,2023-04-26,,,,2023-04-26,87.560358669217,127093900.0,2023-02-27,2023-03-01,56 days,1
353,688184,2022-12-31,1521,帕瓦股份,2023-04-14,,,,2023-04-14,77.054983878959,147939000.0,2023-02-28,2023-03-01,44 days,1
356,688187,2022-12-31,1073,时代电气,2023-03-31,,,,2023-03-31,26.670465721575,2555823400.0,2023-02-28,2023-03-01,30 days,1
358,688190,2022-12-31,1074,云路股份,2023-03-31,,,,2023-03-31,89.315192266581,226705700.0,2023-02-28,2023-03-01,30 days,1
362,688196,2022-12-31,1075,卓越新能,2023-03-31,,,,2023-03-31,30.64228059208,450396682.47,2023-02-21,2023-03-01,30 days,1
364,688198,2022-12-31,2040,佰仁医疗,2023-04-20,,,,2023-04-20,86.997980397748,95739600.0,2023-02-28,2023-03-01,50 days,1
368,688202,2022-12-31,3380,美迪西,2023-04-26,,,,2023-04-26,28.601825011365,362943800.0,2023-02-21,2023-03-01,56 days,1
369,688203,2022-12-31,112,海正生材,2023-03-14,,,,2023-03-14,33.589984918412,47123600.0,2023-02-21,2023-03-01,13 days,2
371,688206,2022-12-31,1271,概伦电子,2023-04-08,,,,2023-04-08,55.731945211609,44546500.0,2023-02-28,2023-03-01,38 days,1
372,688207,2022-12-31,2041,格灵深瞳,2023-04-20,,,,2023-04-20,148.22860166302,32996900.0,2023-02-27,2023-03-01,50 days,1
375,688210,2022-12-31,2042,统联精密,2023-04-20,,,,2023-04-20,98.513031281902,94169224.63,2023-02-28,2023-03-01,50 days,1
380,688218,2022-12-31,4860,江苏北人,2023-04-29,,,,2023-04-29,57.239842906686,34231900.0,2023-02-28,2023-03-01,59 days,1
382,688220,2022-12-31,4308,翱捷科技,2023-04-28,,,,2023-04-28,57.963713953267,-247759600.0,2023-02-28,2023-03-01,58 days,1
385,688223,2022-12-31,2508,晶科能源,2023-04-22,2023-04-29,,,2023-04-29,158.205452747519,2947182600.0,2023-02-28,2023-03-01,52 days,1
390,688231,2022-12-31,3383,隆达股份,2023-04-26,,,,2023-04-26,36.31107260801,95701375.21,2023-02-28,2023-03-01,56 days,1
397,688239,2022-12-31,1661,航宇科技,2023-04-15,,,,2023-04-15,31.969053605423,183358800.0,2023-02-28,2023-03-01,45 days,1
399,688246,2022-12-31,4310,嘉和美康,2023-04-28,,,,2023-04-28,29.574570531198,64316800.0,2023-02-28,2023-03-01,58 days,1
401,688248,2022-12-31,4864,南网科技,2023-04-29,2023-04-21,,,2023-04-21,43.82056249349,205718200.0,2023-02-25,2023-03-01,59 days,1
403,688253,2022-12-31,1079,英诺特,2023-03-31,,,,2023-03-31,25.306272473564,150683800.0,2023-02-21,2023-03-01,30 days,1
408,688261,2022-12-31,2048,东微半导,2023-04-20,,,,2023-04-20,93.566465650627,284356300.0,2023-02-28,2023-03-01,50 days,1
413,688268,2022-12-31,4315,华特气体,2023-04-28,,,,2023-04-28,54.745233346969,200117000.0,2023-02-24,2023-03-01,58 days,1
414,688269,2022-12-31,412,凯立新材,2023-03-25,,,,2023-03-25,36.019328783093,221106900.0,2023-02-28,2023-03-01,24 days,1
420,688278,2022-12-31,1080,特宝生物,2023-03-31,,,,2023-03-31,58.513198050783,287227500.0,2023-02-28,2023-03-01,30 days,1
423,688281,2022-12-31,2267,华秦科技,2023-04-21,,,,2023-04-21,42.926454789327,333260900.0,2023-02-27,2023-03-01,51 days,1
425,688283,2022-12-31,1815,坤恒顺维,2023-04-18,,,,2023-04-18,60.22617607455,81260276.31,2023-02-20,2023-03-01,48 days,1
428,688287,2022-12-31,3390,观典防务,2023-04-26,,,,2023-04-26,20.320136565041,86976900.0,2023-02-28,2023-03-01,56 days,1
431,688290,2022-12-31,252,景业智能,2023-03-21,,,,2023-03-21,59.238883587724,121655800.0,2023-02-28,2023-03-01,20 days,2
434,688293,2022-12-31,746,奥浦迈,2023-03-30,,,,2023-03-30,74.470890897345,105369365.72,2023-02-24,2023-03-01,29 days,1
435,688295,2022-12-31,286,中复神鹰,2023-03-22,,,,2023-03-22,117.093438442253,605083700.0,2023-02-24,2023-03-01,21 days,1
437,688297,2022-12-31,141,中无人机,2023-03-15,2023-04-29,,,2023-04-29,23.149472214905,364197200.0,2023-01-14,2023-03-01,14 days,2
439,688301,2022-12-31,4867,奕瑞科技,2023-04-29,2023-03-17,,,2023-03-17,32.48926822364,641300445.36,2023-02-24,2023-03-01,59 days,1
441,688303,2022-12-31,159,大全能源,2023-03-16,,,,2023-03-16,234.047471328002,19120350800.0,2023-02-28,2023-03-01,15 days,2
446,688309,2022-12-31,747,恒誉环保,2023-03-30,,,,2023-03-30,254.491763167331,14648600.0,2023-02-28,2023-03-01,29 days,1
450,688313,2022-12-31,2512,仕佳光子,2023-04-22,,,,2023-04-22,31.90043895846,66166800.0,2023-02-18,2023-03-01,52 days,1
462,688326,2022-12-31,4869,经纬恒润,2023-04-29,2023-04-27,,,2023-04-27,63.257546996217,238661800.0,2023-02-28,2023-03-01,59 days,1
468,688333,2022-12-31,1084,铂力特,2023-03-31,,,,2023-03-31,246.588625939162,78139800.0,2023-02-24,2023-03-01,30 days,1
