,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,净资产收益率,公告日期,trade_date,time_distance,tier,last_period,last_roe
0,000001,2022-12-31,62,平安银行,2023-03-09,,,,2023-03-09,25.264200792602,45516000000.0,12.36,2023-01-17,2023-03-15,-6 days,1,2021-12-31,10.85
2,000034,2022-12-31,753,神州数码,2023-03-31,,,,2023-03-31,303.11847808637,1004410000.0,14.52,2023-03-13,2023-03-15,16 days,2,2021-12-31,4.4
3,000048,2022-12-31,114,京基智农,2023-03-15,,,,2023-03-15,98.560326227035,773073916.59,31.35,2023-03-13,2023-03-15,0 days,1,2021-12-31,15.0
5,000422,2022-12-31,1529,湖北宜化,2023-04-15,,,,2023-04-15,37.448042646542,2156595850.57,60.65,2023-03-13,2023-03-15,31 days,1,2021-12-31,115.92
8,000533,2022-12-31,1531,顺钠股份,2023-04-15,,,,2023-04-15,346.857317512814,31498500.0,4.51,2023-03-13,2023-03-15,31 days,1,2021-12-31,-1.85
11,000628,2022-12-31,1216,高新发展,2023-04-08,,,,2023-04-08,21.949430845851,199202024.98,12.04,2023-02-28,2023-03-15,24 days,1,2021-12-31,10.65
12,000707,2022-12-31,430,双环科技,2023-03-28,,,,2023-03-28,106.578858563129,873043627.34,84.92,2023-03-13,2023-03-15,13 days,2,2021-12-31,535.48
14,000792,2022-12-31,780,盐湖股份,2023-03-31,,,,2023-03-31,248.64840833527,15613823600.0,90.54,2023-03-13,2023-03-15,16 days,2,2021-12-31,66.7
15,000922,2022-12-31,1366,佳电股份,2023-04-12,,,,2023-04-12,64.545454545455,351140000.0,12.41,2023-03-13,2023-03-15,28 days,1,2021-12-31,9.57
19,001219,2022-12-31,1688,青岛食品,2023-04-18,,,,2023-04-18,34.38429970551,91429460.78,10.3,2023-03-07,2023-03-15,34 days,1,2021-12-31,12.67
22,002017,2022-12-31,2075,东信和平,2023-04-21,,,,2023-04-21,113.139114782169,92628214.79,6.27,2023-03-13,2023-03-15,37 days,1,2021-12-31,3.04
24,002033,2022-12-31,104,丽江股份,2023-03-14,2023-04-07,2023-04-04,,2023-04-04,109.746895429844,3684639.11,0.15,2023-02-25,2023-03-15,-1 days,1,2021-12-31,-1.53
25,002039,2022-12-31,615,黔源电力,2023-03-30,,,,2023-03-30,65.021264344623,414246133.65,11.88,2023-03-13,2023-03-15,15 days,2,2021-12-31,7.77
30,002057,2022-12-31,1902,中钢天源,2023-04-20,2023-04-29,,,2023-04-29,73.22382609094,373542416.7,13.23,2023-03-13,2023-03-15,36 days,1,2021-12-31,9.0
33,002066,2022-12-31,528,瑞泰科技,2023-03-29,2023-04-11,,,2023-04-11,40.221732683066,67003600.0,11.73,2023-01-10,2023-03-15,14 days,2,2021-12-31,9.39
35,002079,2022-12-31,1224,苏州固锝,2023-04-08,,,,2023-04-08,71.799760302004,374032821.93,14.69,2023-02-28,2023-03-15,24 days,1,2021-12-31,10.06
37,002091,2022-12-31,3020,江苏国泰,2023-04-26,,,,2023-04-26,33.509813038465,1650406404.19,13.39,2023-02-28,2023-03-15,42 days,1,2021-12-31,12.58
38,002101,2022-12-31,2656,广东鸿图,2023-04-25,,,,2023-04-25,54.976120926587,465008941.56,9.57,2023-03-13,2023-03-15,41 days,1,2021-12-31,6.42
39,002116,2022-12-31,3463,中国海诚,2023-04-27,,,,2023-04-27,27.575385277144,205125159.66,13.04,2023-02-28,2023-03-15,43 days,1,2021-12-31,11.08
48,002179,2022-12-31,143,中航光电,2023-03-16,,,,2023-03-16,36.81339429014,2723951180.89,16.8,2023-02-03,2023-03-15,1 days,3,2021-12-31,18.22
49,002204,2022-12-31,2078,大连重工,2023-04-21,,,,2023-04-21,148.262614514914,286467500.0,4.33,2023-02-25,2023-03-15,37 days,1,2021-12-31,1.71
55,002258,2022-12-31,41,利尔化学,2023-03-02,,,,2023-03-02,68.969804794501,1812009600.0,31.31,2023-01-11,2023-03-15,-13 days,1,2021-12-31,24.12
57,002268,2022-12-31,2082,电科网安,2023-04-21,,,,2023-04-21,21.210611941088,304681465.04,6.0,2023-02-22,2023-03-15,37 days,1,2021-12-31,5.09
60,002279,2022-12-31,1107,久其软件,2023-04-01,,,,2023-04-01,139.585606580821,52151402.45,4.99,2023-02-22,2023-03-15,17 days,2,2021-12-31,-13.38
61,002284,2022-12-31,1698,亚太股份,2023-04-18,,,,2023-04-18,51.868681997202,66676302.69,2.46,2023-03-13,2023-03-15,34 days,1,2021-12-31,1.64
62,002318,2022-12-31,216,久立特材,2023-03-21,,,,2023-03-21,62.1944914828,1287949007.13,23.04,2023-03-13,2023-03-15,6 days,3,2021-12-31,16.33
64,002332,2022-12-31,3037,仙琚制药,2023-04-26,,,,2023-04-26,20.365158910164,741380495.17,14.47,2023-02-24,2023-03-15,42 days,1,2021-12-31,12.87
65,002338,2022-12-31,3470,奥普光电,2023-04-27,,,,2023-04-27,79.73853751038,83861152.67,8.4,2023-02-28,2023-03-15,43 days,1,2021-12-31,5.15
66,002363,2022-12-31,1305,隆基机械,2023-04-11,,,,2023-04-11,44.233389044085,45577282.54,2.19,2023-02-28,2023-03-15,27 days,1,2021-12-31,1.44
68,002378,2022-12-31,1701,章源钨业,2023-04-18,,,,2023-04-18,27.99902501786,211199371.88,10.68,2023-02-21,2023-03-15,34 days,1,2021-12-31,9.31
