,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,公告日期,trade_date,time_distance
3,000166,2023-03-31,3668,申万宏源,2023-04-29,,,,2023-04-29,87.768140440409,2010990400.0,2023-04-15 00:00:00,2023-05-25,-26 days
4,000411,2023-06-30,2076,英特集团,2023-08-26,,,,,142.26870641729,278011103.63,2023-08-16 00:00:00,2023-05-25,93 days
5,000423,2023-06-30,2078,东阿阿胶,2023-08-26,,,,,72.29269609268,531113600.0,2023-08-07 00:00:00,2023-05-25,93 days
10,000686,2023-03-31,2434,东北证券,2023-04-28,,,,2023-04-28,245.928392067441,378092000.0,2023-04-15 00:00:00,2023-05-25,-27 days
25,002233,2023-06-30,154,塔牌集团,2023-08-08,,,,2023-08-08,178.03190934769,485748095.91,2023-07-29 00:00:00,2023-05-25,75 days
28,002243,2023-06-30,1564,力合科创,2023-08-25,,,,,95.073067256722,223927300.0,2023-07-27 00:00:00,2023-05-25,92 days
30,002299,2023-06-30,3710,圣农发展,2023-08-30,,,,,531.690006897265,426490180.15,2023-08-05 00:00:00,2023-05-25,97 days
33,002380,2023-06-30,2918,科远智慧,2023-08-29,,,,,55.237374775992,42273000.0,2023-07-26 00:00:00,2023-05-25,96 days
34,002418,2023-06-30,4575,康盛股份,2023-08-31,,,,,317.102871870084,22800763.02,2023-08-15 00:00:00,2023-05-25,98 days
37,002609,2023-06-30,2162,捷顺科技,2023-08-26,,,,,177.738439626131,30059687.22,2023-08-10 00:00:00,2023-05-25,93 days
42,002939,2023-06-30,1376,长城证券,2023-08-24,,,,,105.036229461711,889371300.0,2023-08-07 00:00:00,2023-05-25,91 days
49,300824,2023-06-30,1405,北鼎股份,2023-08-24,2023-08-18,,,,66.758979448959,37634500.0,2023-07-19 00:00:00,2023-05-25,91 days
50,300857,2023-06-30,999,协创数据,2023-08-22,,,,,59.040586770916,113014400.0,2023-08-10 00:00:00,2023-05-25,89 days
53,300997,2023-06-30,588,欢乐家,2023-08-18,,,,,56.445208126614,129721460.03,2023-08-04 00:00:00,2023-05-25,85 days
58,600066,2023-06-30,3282,宇通客车,2023-08-29,,,,,820.718473591522,470370223.45,2023-08-03 00:00:00,2023-05-25,96 days
61,600109,2023-06-30,4681,国金证券,2023-08-31,,,,,61.081567779243,874471400.0,2023-08-16 00:00:00,2023-05-25,98 days
