,序号,股票代码,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,accounting_period,净利润-同比增长,净利润-净利润,公告日期
0,1.0,301059,金三江,2023-02-09,,,,2023-02-09,2022-12-31,,,
1,2.0,000815,美利云,2023-02-10,,,,2023-02-10,2022-12-31,,,
2,3.0,000972,中基健康,2023-02-18,2023-02-25,,,2023-02-25,2022-12-31,,,
3,4.0,002072,凯瑞德,2023-02-18,,,,2023-02-18,2022-12-31,,,
4,5.0,301076,新瀚新材,2023-02-18,,,,2023-02-18,2022-12-31,61.321410739687,106946900.0,2023-02-14
5,6.0,002789,建艺集团,2023-02-20,2023-03-30,2023-04-24,,2023-04-24,2022-12-31,,,
6,7.0,002984,森麒麟,2023-02-21,,,,2023-02-21,2022-12-31,,,
7,8.0,600557,康缘药业,2023-02-21,,,,2023-02-21,2022-12-31,,,
8,9.0,603077,和邦生物,2023-02-21,,,,2023-02-21,2022-12-31,,,
9,10.0,603856,东宏股份,2023-02-21,,,,2023-02-21,2022-12-31,,,2023-04-12
10,11.0,000798,中水渔业,2023-02-24,,,,2023-02-24,2022-12-31,,,
11,12.0,300721,怡达股份,2023-02-25,2023-02-21,,,2023-02-21,2022-12-31,,,
12,13.0,301046,能辉科技,2023-02-25,2023-03-10,2023-03-17,,2023-03-17,2022-12-31,,,
13,14.0,301296,新巨丰,2023-02-25,2023-04-20,,,2023-04-20,2022-12-31,,,
14,15.0,688082,盛美上海,2023-02-25,,,,2023-02-25,2022-12-31,,,
15,16.0,000055,方大集团,2023-02-28,,,,2023-02-28,2022-12-31,,,
16,17.0,000620,*ST新联,2023-02-28,2023-04-08,2023-04-29,,2023-04-29,2022-12-31,,,
17,18.0,000975,银泰黄金,2023-02-28,,,,2023-02-28,2022-12-31,,,
18,19.0,001207,联科科技,2023-02-28,,,,2023-02-28,2022-12-31,,,
19,20.0,002138,顺络电子,2023-02-28,,,,2023-02-28,2022-12-31,,,
20,21.0,002162,悦心健康,2023-02-28,2023-03-10,2023-03-16,2023-03-18,2023-03-18,2022-12-31,,,
21,22.0,002315,焦点科技,2023-02-28,,,,2023-02-28,2022-12-31,,,2023-07-24
22,23.0,002616,长青集团,2023-02-28,,,,2023-02-28,2022-12-31,,,
23,24.0,002629,仁智股份,2023-02-28,2023-03-07,2023-03-16,2023-03-20,2023-03-20,2022-12-31,,,
24,25.0,300033,同花顺,2023-02-28,,,,2023-02-28,2022-12-31,,,
25,26.0,300152,新动力,2023-02-28,2023-03-22,,,2023-03-22,2022-12-31,,,
26,27.0,300496,中科创达,2023-02-28,,,,2023-02-28,2022-12-31,,,
27,28.0,300818,耐普矿机,2023-02-28,,,,2023-02-28,2022-12-31,,,2023-07-20
28,29.0,301256,华融化学,2023-02-28,,,,2023-02-28,2022-12-31,,,
29,30.0,600305,恒顺醋业,2023-02-28,,,,2023-02-28,2022-12-31,,,
30,31.0,601901,方正证券,2023-02-28,,,,2023-02-28,2022-12-31,,,2023-04-14
31,32.0,603021,山东华鹏,2023-02-28,,,,2023-02-28,2022-12-31,,,
32,33.0,603200,上海洗霸,2023-02-28,,,,2023-02-28,2022-12-31,,,
