,weight,score,udstatus,tradestatus,amt,no_sell,no_buy,rank,w_lim,tgt_pos,tgt_trade,w_buy,w_sell
000155.SZ,-0.02305638773968738,0.0,0.0,4,276327646.0,False,False,1,0.0018027876435898645,-0.021253600096097513,0.0018027876435898656,0.0018027876435898656,0.0
000533.SZ,-0.0012912101841795244,-2.0,0.0,4,24660921.0,False,False,2,0.00016089017621619302,-0.0011303200079633314,0.00016089017621619302,0.00016089017621619302,0.0
000576.SZ,-0.030247282155439523,-4.0,0.0,4,69551142.0,False,False,3,0.00045375821496761875,-0.029793523940471904,0.00045375821496761864,0.00045375821496761864,0.0
000726.SZ,0.000879415550443109,-6.0,0.0,4,45265162.0,False,False,4,0.0002953141892240977,0.0011747297396672066,0.0002953141892240976,0.0002953141892240976,0.0
000735.SZ,0.0478509691931172,-8.0,0.0,4,432545465.0,False,False,5,0.0028219674393087407,0.04502900175380846,-0.0028219674393087438,0.0,-0.0028219674393087438
000878.SZ,-0.0,-10.0,0.0,4,221266944.0,False,False,6,0.0014435664268572337,0.0014435664268572337,0.0014435664268572337,0.0014435664268572337,0.0
000922.SZ,-0.008820539438021108,-12.0,0.0,4,81231391.0,False,False,7,0.0005299612618797358,-0.008290578176141372,0.0005299612618797356,0.0005299612618797356,0.0
001228.SZ,-0.0,-14.0,0.0,4,48050988.0,False,False,8,0.00031348918098728654,0.00031348918098728654,0.00031348918098728654,0.00031348918098728654,0.0
002045.SZ,0.39633410757625237,-16.0,-1.0,4,798974938.0,False,True,9,0.005212587906475265,0.3911215196697771,-0.0052125879064752745,0.0,-0.0052125879064752745
002046.SZ,-0.0020820871579038925,-18.0,0.0,4,95299812.0,False,False,10,0.0006217449683266115,-0.0014603421895772808,0.0006217449683266116,0.0006217449683266116,0.0
002073.SZ,0.012174454915972747,-20.0,0.0,4,100320992.0,False,False,11,0.0006545036205688868,0.01151995129540386,-0.0006545036205688869,0.0,-0.0006545036205688869
002079.SZ,0.09866188494900337,-22.0,0.0,4,1061010104.0,False,False,12,0.006922130061554526,0.09173975488744884,-0.006922130061554524,0.0,-0.006922130061554524
002090.SZ,-0.028346516604309945,-24.0,0.0,4,69947590.0,False,False,13,0.00045634467913822116,-0.027890171925171722,0.00045634467913822224,0.00045634467913822224,0.0
002111.SZ,0.017085532791391776,-26.0,0.0,4,51435343.0,False,False,14,0.00033556903243842074,0.016749963758953355,-0.00033556903243842084,0.0,-0.00033556903243842084
002112.SZ,-0.13915964265115566,-28.0,0.0,4,450728670.0,False,False,15,0.00294059638494403,-0.13621904626621162,0.0029405963849440386,0.0029405963849440386,0.0
002126.SZ,-0.09292302352471264,-30.0,0.0,4,239994986.0,False,False,16,0.0015657499405047678,-0.09135727358420788,0.0015657499405047626,0.0015657499405047626,0.0
