,weight,score,udstatus,tradestatus,amt
000001.SZ,0.0,-5940.0,0.0,4,706480660.0
000002.SZ,0.0,-5940.0,0.0,4,1193853831.0
000004.SZ,0.0,-5940.0,0.0,4,20707971.0
000005.SZ,0.0,-5940.0,0.0,4,7049777.0
000006.SZ,0.0,-5940.0,0.0,4,69746313.0
000007.SZ,0.0,-5940.0,0.0,4,24776534.0
000008.SZ,0.0,-5940.0,0.0,4,37536345.0
000009.SZ,0.0,-5940.0,0.0,4,204997076.0
000010.SZ,0.0,-5940.0,0.0,4,62117485.0
000011.SZ,0.0,-5940.0,0.0,4,35243376.0
000012.SZ,0.0,-5940.0,0.0,4,85464807.0
000014.SZ,0.0,-1137.0,0.0,4,24412061.0
000016.SZ,0.0,-5940.0,0.0,4,316744649.0
000017.SZ,0.0,-5940.0,0.0,4,59253507.0
000019.SZ,0.0,-5940.0,0.0,4,33044132.0
000020.SZ,0.0,-5940.0,0.0,4,16760876.0
000021.SZ,0.0,-5940.0,0.0,4,5858168815.0
000023.SZ,0.0,-5940.0,0.0,4,20071167.0
000025.SZ,0.0,-5940.0,0.0,4,57669103.0
000026.SZ,0.0,-5940.0,0.0,4,34246784.0
000027.SZ,0.0,-5940.0,0.0,4,57979514.0
000028.SZ,0.0,-5940.0,0.0,4,186443371.0
000029.SZ,0.0,-5940.0,0.0,4,38935612.0
000030.SZ,0.0,-5940.0,0.0,4,15213652.0
000031.SZ,0.0,-5940.0,0.0,4,58476190.0
000032.SZ,0.0,-5940.0,0.0,4,2360322160.0
000034.SZ,0.0,-1137.0,0.0,4,1370788778.0
000035.SZ,0.0,-5940.0,0.0,4,97368206.0
000036.SZ,0.0,-5940.0,0.0,4,34518417.0
000037.SZ,0.0,-5940.0,0.0,4,23849967.0
000038.SZ,0.0,-1137.0,0.0,4,11293864.0
000039.SZ,0.0,-5940.0,0.0,4,82811153.0
000040.SZ,0.0,-5940.0,0.0,4,48145885.0
000042.SZ,0.0,-5940.0,0.0,4,44839168.0
000045.SZ,0.0,-5940.0,0.0,4,106089203.0
000046.SZ,0.0,-5940.0,0.0,4,81411322.0
000048.SZ,0.0,-1137.0,0.0,4,196638477.0
000049.SZ,0.0,-5940.0,0.0,4,239868777.0
000050.SZ,0.0,-5940.0,0.0,4,398294551.0
000055.SZ,0.0,-5940.0,0.0,4,50379718.0
000056.SZ,0.0,-5940.0,0.0,4,57984739.0
000058.SZ,0.0,-5940.0,0.0,4,36864907.0
000059.SZ,0.0,-5940.0,0.0,4,175270342.0
000060.SZ,0.0,-5940.0,0.0,4,120570386.0
000061.SZ,0.0,-5940.0,0.0,4,173524530.0
000062.SZ,0.0,-5940.0,0.0,4,139805659.0
000063.SZ,0.0,-5940.0,1.0,4,4796316155.0
000065.SZ,0.0,-5940.0,0.0,4,940222052.0
000066.SZ,0.0,-5940.0,0.0,4,1275406351.0
000068.SZ,0.0,-5940.0,0.0,4,21492211.0
000069.SZ,0.0,-5940.0,0.0,4,256913781.0
000070.SZ,0.0,-5940.0,0.0,4,645206362.0
000078.SZ,0.0,-5940.0,0.0,4,30055835.0
000088.SZ,0.0,-5940.0,0.0,4,30421313.0
000089.SZ,0.0,-5940.0,0.0,4,107868645.0
000090.SZ,0.0,-5940.0,0.0,4,64010898.0
