,weight,score,udstatus,tradestatus,amt,new_pos,rank,trade_need_todo,cumpos
000055.SZ,0.010219212161208024,0.0,0.0,4,39291720.0,0.01,1,-0.00021921216120802424,0.01
000166.SZ,0.009996382172971486,-2.0,0.0,4,505185684.0,0.01,2,3.6178270285142783e-06,0.02
000403.SZ,0.010050090958622025,-4.0,0.0,4,116204564.0,0.01,3,-5.009095862202467e-05,0.03
000409.SZ,0.01032670576314926,-6.0,0.0,4,189434345.0,0.01,4,-0.0003267057631492591,0.04
000423.SZ,0.010043823562454434,-8.0,0.0,4,270138967.0,0.01,5,-4.382356245443385e-05,0.05
000525.SZ,0.009633676425657142,-10.0,-1.0,4,61442752.0,0.009633676425657142,6,0.0,0.059633676425657145
000529.SZ,0.010277504582724613,-12.0,0.0,4,83198985.0,0.01,7,-0.00027750458272461295,0.06963367642565714
000531.SZ,0.010104328524144137,-14.0,0.0,4,38357511.0,0.01,8,-0.00010432852414413683,0.07963367642565714
000534.SZ,0.01006339301576206,-16.0,0.0,4,63025672.0,0.01,9,-6.339301576206019e-05,0.08963367642565713
000537.SZ,0.010081750868762564,-18.0,0.0,4,98549520.0,0.01,10,-8.175086876256385e-05,0.09963367642565713
000539.SZ,0.010166601797931244,-20.0,0.0,4,130295223.0,0.01,11,-0.00016660179793124424,0.10963367642565712
000543.SZ,0.010097927908909243,-22.0,0.0,4,193402443.0,0.01,12,-9.79279089092424e-05,0.11963367642565712
000552.SZ,0.010134581004482258,-24.0,0.0,4,92298839.0,0.01,13,-0.00013458100448225825,0.12963367642565712
000567.SZ,0.0102122831593233,-26.0,0.0,4,77319656.0,0.01,14,-0.00021228315932329996,0.13963367642565713
000600.SZ,0.010134581004482258,-28.0,0.0,4,207732235.0,0.01,15,-0.00013458100448225825,0.14963367642565714
000663.SZ,0.010370530230125179,-30.0,0.0,4,36748686.0,0.01,16,-0.00037053023012517845,0.15963367642565715
000686.SZ,0.010011985266459428,-32.0,0.0,4,875630489.0,0.01,17,-1.1985266459428254e-05,0.16963367642565716
000700.SZ,0.010212840317035144,-34.0,0.0,4,36205104.0,0.01,18,-0.00021284031703514353,0.17963367642565717
000733.SZ,0.009845777662674072,-36.0,0.0,4,495005865.0,0.01,19,0.00015422233732592834,0.18963367642565718
000762.SZ,0.010177977726265016,-38.0,0.0,4,303306103.0,0.01,20,-0.00017797772626501618,0.19963367642565719
000811.SZ,0.010358031937483487,-40.0,0.0,4,187216516.0,0.01,21,-0.00035803193748348665,0.2096336764256572
000821.SZ,0.009119170191208335,-42.0,-1.0,4,466960770.0,0.009119170191208335,22,0.0,0.21875284661686553
000829.SZ,0.009988101061908216,-44.0,0.0,4,500115967.0,0.01,23,1.1898938091784578e-05,0.22875284661686554
000831.SZ,0.01018576575753176,-46.0,0.0,4,886736857.0,0.01,24,-0.00018576575753176047,0.23875284661686555
000863.SZ,0.010134581004482258,-48.0,0.0,4,134709186.0,0.01,25,-0.00013458100448225825,0.24875284661686556
000875.SZ,0.010058093600789577,-50.0,0.0,4,110804603.0,0.01,26,-5.8093600789576455e-05,0.25875284661686554
000893.SZ,0.00993486389405201,-52.0,0.0,4,204280274.0,0.01,27,6.513610594799032e-05,0.26875284661686555
000899.SZ,0.010298857255084844,-54.0,0.0,4,95237481.0,0.01,28,-0.00029885725508484347,0.27875284661686556
000906.SZ,0.010134581004482258,-56.0,0.0,4,102450016.0,0.01,29,-0.00013458100448225825,0.28875284661686557
000913.SZ,0.009971274959615311,-58.0,0.0,4,173020219.0,0.01,30,2.8725040384688927e-05,0.2987528466168656
000921.SZ,0.009952846816201335,-60.0,0.0,4,421110057.0,0.01,31,4.7153183798664955e-05,0.3087528466168656
000937.SZ,0.010162195666211116,-62.0,0.0,4,245994200.0,0.01,32,-0.00016219566621111618,0.3187528466168656
000957.SZ,0.010278479720960826,-64.0,0.0,4,145082080.0,0.01,33,-0.00027847972096082564,0.3287528466168656
000966.SZ,0.010256930070857274,-66.0,0.0,4,107663362.0,0.01,34,-0.0002569300708572739,0.3387528466168656
000968.SZ,0.00993112642982506,-68.0,0.0,4,49654610.0,0.01,35,6.887357017494079e-05,0.3487528466168656
000972.SZ,0.010105789581081938,-70.0,0.0,4,65406265.0,0.01,36,-0.000105789581081938,0.35875284661686563
000983.SZ,0.00988266981274382,-72.0,0.0,4,377350150.0,0.01,37,0.00011733018725617987,0.36875284661686564
001301.SZ,0.009991027506290282,-74.0,0.0,4,186650338.0,0.01,38,8.972493709718393e-06,0.37875284661686565
001366.SZ,0.009553723468545862,-76.0,0.0,4,198207704.0,0.01,39,0.0004462765314541383,0.38875284661686565
002011.SZ,0.011149650325955029,-78.0,1.0,4,226499798.0,0.011149650325955029,40,0.0,0.3999024969428207
002023.SZ,0.010022472807556929,-80.0,0.0,4,122292805.0,0.01,41,-2.247280755692839e-05,0.4099024969428207
002033.SZ,0.010251276799894812,-82.0,0.0,4,372608769.0,0.01,42,-0.0002512767998948118,0.4199024969428207
002050.SZ,0.010183756298146645,-84.0,0.0,4,640099867.0,0.01,43,-0.00018375629814664472,0.42990249694282073
002051.SZ,0.009678774128421485,-86.0,0.0,4,1933032952.0,0.01,44,0.0003212258715785156,0.43990249694282074
002081.SZ,0.010370268935290432,-88.0,0.0,4,107021083.0,0.01,45,-0.0003702689352904319,0.44990249694282075
002100.SZ,0.009930529037826628,-90.0,0.0,4,388481339.0,0.01,46,6.947096217337252e-05,0.45990249694282076
002101.SZ,0.010376161133053908,-92.0,0.0,4,176325925.0,0.01,47,-0.000376161133053908,0.46990249694282077
002104.SZ,0.01037878777524724,-94.0,0.0,4,255904338.0,0.01,48,-0.0003787877752472399,0.4799024969428208
002115.SZ,0.009934960469514777,-96.0,0.0,4,606341991.0,0.01,49,6.503953048522283e-05,0.4899024969428208
002125.SZ,0.009912295312160811,-98.0,0.0,4,67748966.0,0.01,50,8.770468783918933e-05,0.4999024969428208
002126.SZ,0.01058483723842857,-100.0,0.0,4,385600862.0,0.01,51,-0.0005848372384285698,0.5099024969428207
002131.SZ,0.010134581004482258,-102.0,0.0,4,689945293.0,0.01,52,-0.00013458100448225825,0.5199024969428208
002137.SZ,0.010271740747537225,-104.0,0.0,4,138767431.0,0.01,53,-0.0002717407475372243,0.5299024969428208
002149.SZ,0.010045105598099539,-106.0,0.0,4,143653883.0,0.01,54,-4.510559809953879e-05,0.5399024969428208
002166.SZ,0.010284808544850801,-108.0,0.0,4,72877538.0,0.01,55,-0.00028480854485080087,0.5499024969428208
002170.SZ,0.010213633898306495,-110.0,0.0,4,116801431.0,0.01,56,-0.0002136338983064947,0.5599024969428208
002175.SZ,0.009998546360045173,-112.0,0.0,4,55824608.0,0.01,57,1.453639954827196e-06,0.5699024969428208
